Text,sentiment
"વડોદરામાં જાહેરમાં થૂંક્યા તો હવે ખૈર નહીં 

જાહેરમાં પિચકારી મારતા લોકોને દંડ કરવાની શરૂઆત

કમાન્ડ એન્ડ કન્ટ્રોલ… ",negative
"ઇતિહાસના પુસ્તકમાં આવતાં વર્ષે ગ્રીસ અને મગધ સુધીના નવા પ્રકરણો મળશે.  
… ",positive
,
"અમરેલીમાં આખરે માનવભક્ષી દીપડો પાંજરે પુરાયો

રાજુલાના કાતર ગામમાં બાળક પર કર્યો હતો હુમલો

દીપડાના હુમલામાં 2 વર્ષ… ",negative
,
"કોઈ પોતાની શક્તિને ઓળખી લે અને ડરને દૂર કરી દે તો આમ સાવજ સાથે પણ બાથ ભીડી શકે.
… ",positive
ગુજરાતી ફિલ્મ ઇન્ડસ્ટ્રી માટે ગૌરવની વાત કહેવાય કે ફિલ્મ વશની હવે હિન્દી રીમેક બનશે.…,positive
,
"સુરત: લિંબાયતમાં ચેતવણીરૂપ કિસ્સો

રમતા રમતા બાળકને માથામાં વાગી પંખાની પાંખ

પિતા બાળકીને રમાડવા ઉછાળી રહ્યા હતા… ",negative
"કબૂતરોને ચણ નાખતા હો તો ચરક, પીંછાને કારણે ઈન્ફેક્શન થઈ શકે છે.
… ",negative
"( Representative image ) 

ગુજરાતના 182 માછીમારોને પાકિસ્તાને મુક્ત કર્યા

મોડી રાત્રે ગુજરાત પરત ફર્યા 182 માછીમા… ",positive
"ભાવનગર: 20થી વધુ લોકોને ફૂડ પોઈઝન

કથા હવનમાં જમણવાર બાદ ફૂડ પોઈઝન

20 જેટલા બાળકોને થઈ છે અસર 

ખારસી ગ્રામ્ય વિ… ",negative
,
"રાજ્યમાં શ્વાનનો આતંક વધ્યો

સુરતમાં વરરાજા પર શ્વાનનો હુમલો

આંકલાવમાં 4 લોકોને શ્વાને બચકા ભર્યા",negative
,
"ગુજરાતના 182 માછીમારોને પાકિસ્તાને મુક્ત કર્યા

મોડી રાત્રે ગુજરાત પરત ફર્યા 182 માછીમારો

મંત્રી રાઘવજી પટેલે વડોદ… ",positive
"ગ્લોબલ માર્કેટથી મિશ્ર સંકેતો
ડિફેન્સમાં મેક ઇન ઇન્ડિયાનો દમ… ",positive
"#CNBCBajar | ગ્લોબલ માર્કેટથી મિશ્ર સંકેતો, માં લગભગ પોણા ટકાનું દબાણ… ",positive
ડભોઈ તાલુકાના નડા ગામે 8 વર્ષનો બાળક નું તળાવમાં ડુબી જતા મૃત્યુ નીપજ્યું.…,negative
"ધોરણ 12માં બે વિષયમાં નાપાસ થતાં વિદ્યાર્થિનીએ કરી આત્મહત્યા, ઘરમાં શોકનો માહોલ


… ",negative
,
"કેરીમાં છે અનેક ગુણ : તમે જાણીને ચોકી જશો..આવો જાણીએ કેરી ખાવાના ફાયદા


… ",positive
"ભારતીય નેવીએ સુપરસોનિક બ્રહ્મોસ મિસાઈલનું કર્યુ સફળતાપૂર્વક પરીક્ષણ


… ",positive
,
"જાહેરમાં થુંકતા પહેલાં ચેતી જજો: જાહેરમાં થુંકતા 17 લોકોને દંડ ભરવા નોટિસ ફટકારાઈ
 ",negative
,
"ભરૂચ તંત્રના પાપે પરિવારમાં કદિય ન પુરાય તેવી ખોટ પડી, વેન્ટીલેટર પર રહેલા દર્દીએ ગુમાવ્યો જીવ (VIDEO)
… ",negative
,
,
"ઉંમર ભલે ગમે એટલી હોઈ પરંતુ સમય મળે ત્યારે આમ બાળપણ માણતા રહેજો.
… ",positive
"જૈન ફૂડસનો મેંગો મિલ્ક શેક પણ સબસ્ટાન્ડર્ડ નિકળ્યો

કોકોનટ ટોફી, અને ફરસીપુરી પણ મિસબ્રાન્ડેડ

વિવિધ વિસ્તારમાં અખા… ",negative
,
"રાજકોટમાં ઢોર માલિકોની દાદાગીરી 

મનપાની કામગીરીમાં રુકાવટનો વીડિયો 

મનપાના કર્મચારીઓને અપશબ્દ બોલ્યા

મનપા કર્મચા… ",negative
UP Municipal Corporation Results : ભાજપને ઉત્તર પ્રદેશ મ્યુનિસિપલ કોર્પોરેશનની ચૂંટણીમાં બમ્પર જીત મળી છે. મુખ્યમં…,positive
"મરચાં પાઉડરમાં ચોખાની ભૂકી ઉમેરાતી હતી

લાલ રંગનું મરચું બનાવવા કલર નંખાતો હતો

3.98 લાખ નો મુદ્દામાલ કબજે કરાયો

મ… ",negative
"સુરત: મરચુ પાઉડરમાં ભેળસેળ

કડોદરામાં ફૂડ વિભાગે પાડી હતી રેડ

જે.ડી.ફૂડ એન્ડ એગ્રોમાં પાડ્યા હતા દરોડા",negative
UP News : ઉત્તર પ્રદેશના દરેક પોલીસ સ્ટેરશન હવે સીસીટીવી કેમેરાની દેખરેખમાં હશે. ઉત્તર પ્રદેશ સરકાર દ્વારા રાજ્યના…,positive
,
,
"જો હકીકતે મદદ કરવાની ભાવના હોય તો તે આ રીતે પણ થઈ શકે.
… ",positive
ગુજરાત સરકાર વધુ આવક ધરાવતા લોકોને વધુ રાશનનું અનાજ આપી રહી છે,positive
"ભારતના નિર્માણમાં આ મહાન માતાઓનો મહામૂલો ફાળો રહ્યો છે.
… ",positive
,
,
"પૂર્વ MLA જેઠાભાઈ રાઠોડનું અવસાન

ખેડબ્રહ્માના ધારાસભ્ય હતા જેઠાભાઈ રાઠોડ

86 વર્ષની ઉંમરે ધારાસભ્યનું થયું અવસાન… ",negative
"આણંદ: બોચાસણ મંદિરનો 126મો પાટોત્સવ

ભગવાનને સુંદર શણગાર અન્નકૂટ ધરાવાશે

શ્રી નીલકંઠ વરણીને અભિષેક કરાશે

સત્સંગ સ… ",positive
,
"Grah Gochar Yog 2023 : 18 દિવસ સુધી મહેરબાન રહેશે કિસ્મત, 6 રાશિને મળશે લાભ
… ",positive
"Vish Yog 2023: શનિ-ચંદ્વથી આ રાશિઓને આવશે સમસ્યા, રહેવું પડશે સાવધાન
… ",negative
,
"અમદાવાદ: 2 વર્ષના બાળકનું પાણીની ટાંકીમાં પડતાં મોત 
 ",negative
"તાપી: ભાજપના મહિલા સભ્ય સરિતા વસાવા લાંચ લેતા ઝડપાયા
 ",negative
બોટાદમાં તળાવમાં ન્હાવા પડેલા 2 યુવકને બચાવવા 3 જતાં પાંચેયનાં મોત,negative
"ગૂજરાત વિદ્યાપીઠમાં નવા સૈક્ષણિક સત્રથી હવે વિદ્યાર્થીઓની હાજરી બાયોમેટ્રિક પદ્ધતિથી લેવામાં આવશે
 ",positive
"અમદાવાદમાં લોક અદાલતમાં મુકાયા સમાધાનના કેસ; ગ્રામ્ય કોર્ટમાં આપવામાં આવ્યો 1.91 કરોડનો ચેક
… ",positive
"ભાવનગરના વલભીપુર તાલુકામાંથી ઝડપાયું નકલી બિયારણ 
 ",negative
,
,
,
ધ કેરલા સ્ટોરી'ની આ ફિલ્મમાં હિંદુ છોકરીઓના ધર્મ પરિવર્તન અને તેમને ISIS જેવા આતંકવાદી સંગઠનમાં બળજબરીથી સામેલ કર…,negative
"અમરેલીમાં ગૌ હત્યાના ગુનામાં આરોપીને 10 વર્ષની સખત કેદની સજા  

 
… ",negative
"પેટની ચરબી ઘટાડવા માટે લોકો અવનવી કસરત અને નુસખા અજમાવતા હોય છે. આ વીડિયોમાં પણ આવુ જ કંઇક છે.
… ",positive
,
"લોરેન્સ બિશ્નોઈ ગેંગના છેડા રાજકોટ સુધી, બે કરોડની ખંડણી કેસમાં ત્રણની ધરપકડ બાદ મોટો ખુલાસો 
.
.… ",negative
"CBI એ પશ્ચિમ રેલવેના એક સિનિયર ઓફિસરની લાંચના ગુના હેઠળ ધરપકડ કરી
… ",negative
"ભારતીય નૌસેનાએ 2500 કિલોનું પકડ્યું ડ્રગ્સ
… ",negative
,
"લિન્ડા યાકારિનો બની ટ્વિટરની નવી CEO, એલોન મસ્કે ટ્વિટર પર કરી જાહેરાત… ",positive
"214 કરોડના ડ્રગ્સનો કેસ: પકડાયેલ નાઝીરિયન 12 દિવસના રિમાન્ડ પર 
… ",negative
Karnataka Election Results 2023 : કોંગ્રેસ સૌથી મોટી પાર્ટી તરીકે ઉભરી રહી હોય તેવું લાગી રહ્યું છે. કોંગ્રેસ પૂર્ણ…,positive
West Bengal: દારૂ પીવાને કારણે ફ્લાઇટ છૂટી ગયા પછી પેસેન્જરે એરપોર્ટ બારમાં હંગામો કર્યો; આખરે ધરપકડ થઈ…,negative
"શહેરમાંથી ફરવા આવેલી યુવતીઓને આ રીતે હાથીએ જંગલના કાયદાઓનું ભાન કરાવ્યું હતું.
… ",positive
"Karnataka Election Result : લિંગાયત અને વોક્કાલિગા સમુદાય કોની તરફેણમાં છે, જુઓ વલણોમાં કોણ આગળ છે… ",positive
UP ની રાજધાની Lucknow ના BBD પોલીસ સ્ટેશન વિસ્તારમાં એક ઘરમાં E-Rikshaw ની બેટરી ફાટતાં એક મહિલા અને તેના માસૂમ પુ…,negative
,
"Twitter New CEO: લિન્ડા યાકારિનો ટ્વિટરના નવા સીઈઓ બન્યા, એલોન મસ્કએ જાહેરાત કરી 
… ",positive
,
NCERT એ ધોરણ-12ના રાજકીય વિજ્ઞાનના પાઠ્યપુસ્તકમાંથી મહાત્મા ગાંધીનું ઉલ્લેખ કાઢીનાખ્યું,negative
"સુપ્રીમ કોર્ટમાં હવે 24 કલાકમાં કેસ દાખલ કરી શકાશે, ઈ-ફાઈલિંગ 2.0 સેવા શરૂ 
… ",positive
"Weather Update: તીવ્ર ગરમી શરૂ, દિલ્હી-NCR સહિત આ 5 રાજ્યોમાં ગરમીનું મોજું ચાલુ રહેશે, ચક્રવાત 'મોચા' ઉત્તર પૂર્વ… ",
"🔆રાજ્યની પ્રાથમિક શાળાના શિક્ષક મિત્રોના હિત માટે મહત્વપૂર્ણ નિર્ણય...
… ",positive
"""અચ્છે ખાસે આઝાદ"" થે  ગુલામ નબી કોંગ્રેસ વિરુદ્ધ  હુમલોનો મુખ્ય કારણ રાહુલ ગાંધી  ",negative
,
,
સવારે 4 થી 9 વાગ્યા સુધી હનુમાન જયંતિ ઉજવવા માટે પાંચ સારા સમય છે. …,positive
,
સુરત પાલ વિસ્તાર માં આવેલ એક બિલ્ડીંગ માં ઇન્ટરનેટ ના વાયર ને કારણે લાગી આગ.…,negative
"આવતી કાલે રાઘવ ચઢ્ઢા-પરિણીતી ચોપરાની સગાઈ, જાણો ગેસ્ટ લિસ્ટ
… ",positive
"બે બહેનોએ એક વર્ષથી પોતાને ઘરમાં ગોંધી રાખી હતી, કારણ જાણીને રુવાંડા ઉભા થઈ જશે
… ",negative
"આર્મી જવાને જીવ ગુમાવ્યો, પેરાશૂટ ફસાઈ જતા 8000 ફૂટ ઊંચાઈથી પટકાયા.
… ",negative
"યોગીએ પોતાની કેબિનેટ સાથે ""TheKerelaStory"" સ્પેશિયલ સ્ક્રીનિંગ યોજાયું
… ",positive
"કેદારનાથ ધામનો નયનરમ્ય નજારો
… ",positive
"સેવાથી કંટાળેલી વહુએ કુકરના 14 ઘા જીકી સાસુને પતાવી દીધી 
… ",negative
"બનાસકાંઠા જિલ્લાના 270 ગામોમાં 640 લાભાર્થીઓને પોતાના નવીન ગૃહમાં પ્રવેશ કરાવાયો

 ",positive
"ડોલરીયા દેશ અમેરિકામાં સેટ થવાના ઇરાદે આમ જીવ જોખમમાં મુકીને લોકો ઘૂસણખોરી કરે છે.
… ",negative
IPL 2023: ચહલે ઈતિહાસ સર્જતા આ દિગ્ગજોએ એવી રીતે અભિનંદન આપ્યા કે તમે પણ હસીને લોટપોટ થઇ જશો…,positive
,
,
"છત્તીસગઢમાં ભત્રીજીના લગ્નમાં ડાન્સ કરતાં કાકાનું હાર્ટએટેકથી મોત થતાં હરખનો પ્રસંગ શોકમાં ફેરવાયો.
… ",negative
"પતિએ લગ્ન કર્યા છે પરંતુ તેને શારીરિક સંબંધ બાંધવામાં રસ નથી: જૂનાગઢ પોલીસમાં ફરિયાદ

",negative
"આણંદ: યુવકને હત્યાના ગુનામાં આજીવન કેદની સજા

",negative
"Mocha'ની ગુજરાત પર પડશે વિપરીત અસર, ગુજરાતમાં વરસાદની આગાહી

",negative
"ગુજરાત ATSને ગેંગસ્ટર લોરેન્સ બિશ્નોઈની અપાઈ કસ્ટડી

",negative
અમૃતકાળમાં જ્યારે દેશ વિકસીત ભારતના સંકલ્પ સાથે આગળ વઘી રહ્યો છે તેમાં શિક્ષકોની ભૂમિકા મહત્વની છે - નરેન્દ્ર મોદી…,positive
"અતીક અહમદના મર્ડરના આરોપીઓએ બનાવ્યા હતા નકલી આધાર કાર્ડ

",negative
"કેરળ પોલીસ UAPA હેઠળ આરોપી શાહરૂખ વિરુદ્ધ કરાવાશે કાર્યવાહી


",negative
,
,
Gauahar Khan અને Zaid Darbar માતા-પિતા બની ગયા છે.દંપતીએ 10 May ના રોજ એકસાથે તેમના પ્રથમ બાળકનું સ્વાગત કર્યું.…,positive
"વડોદરા: MS યુનિવર્સિટીમાં નોકરી કૌભાંડના કેસમાં ત્રણ ઠગ ભરાયા
… ",negative
PM Modi : વડાપ્રધાન નરેન્દ્ર મોદી આજે ગુજરાતના એક દિવસીય પ્રવાસે આવ્યા છે. વડાપ્રધાનના પોતાના ગૃહ રાજ્યમાં સૌથી પહે…,positive
"વિશ્વ બજાર પાછળ સોનામાં રૂ. ૫૪૮નું અને ચાંદીમાં રૂ. ૨૪૪૧નું ગાબડું
… ",negative
,
"🔆નિરંતર અભ્યાસ અને એકાગ્રતા સફળતાની ચાવી છે...
… ",positive
"મોદીએ શિક્ષણ અધિવેશન સંમેલનમાં સંબોધન કર્યું
… ",positive
"ભરૂચમાં ગમખ્વાર અકસ્માતમાં 2ના મોત
 ",negative
સોશિયલ મીડિયા પ્લેટફોર્મ ટ્વિટરના સીઈઓ ઈલોન મસ્કે રાજીનામું આપવાની જાહેરાત કરી છે. તેમણે કહ્યું છે કે ટ્વિટર માટે ન…,negative
,
,
,
"એલોન મસ્કને મળ્યા ટ્વિટરના નવા સીઇઓ! 6 અઠવાડિયા પછી સંભાળશે CEOનું પદ

",positive
"BCCIના ભૂતપૂર્વ પ્રમુખ સૌરવ ગાંગુલી બન્યા રાણા ગ્રૂપના નવા બ્રાન્ડ એમ્બેસેડર

",positive
,
"RRCની વસૂલાતના બાકી રૂપિયા હોવાથી નડિયાદના મિશન રોડ પર આવેલી હોસ્પિટલ સીલ
 ",negative
"ઈઝરાયેલના હુમલામાં 25 પેલેસ્ટાઈનના મોત, ટોચનો આંતકી પણ ઠાર


… ",negative
"વડોદરામાં ધારાસભ્ય ચૈતન્યસિંહ ઝાલાના ભાઈને પોલીસ રેન્જમાં ફાયરિંગની પ્રેક્ટિસ કરાવતા વિવાદ
 ",negative
આઈડિયાફોર્જ એક્સપોનેન્શિયલે 2023 ખાતે લોંચ કર્યું અપગ્રેડેડ નેત્રા V4 પ્રો…,positive
"પાટણના મુખ્ય બજારમાં દબાણો દૂર કરવાની કામગીરી શરૂ 
 ",positive
"ગઢડા: GRD જવાનનું હાર્ટએટેકથી મોત

45 વર્ષીય GRD જવાનનું હાર્ટએટેકથી મોત

ગોરડકા બસ સ્ટેન્ડ નજીક આવ્યો હાર્ટએટેક",negative
"અરવલ્લીની બાયડ માર્કેટ યાર્ડના ચેરમેન, વાઈસ ચેરમેનની નિમણૂક
 ",positive
"સુરતનો જાગૃત નાગરિક:  ઓન ડ્યુટી ટ્રાફિક પોલીસને નિયમ તોડવા બદલ કરાવ્યું કાયદાનું ભાન,500 રૂપિયાનો દંડ ભરાવ્યો.… ",negative
"અમેરિકામાં રહેતા ભારતીયો માટે રાહતના સમાચાર સામે આવ્યા
અમેરિકન નાગરિકતા મેળવવાનું સપનું પૂરું થશે
1.1 કરોડ ઇમિગ્ર… ",positive
,
"એક સમયે પાણીપુરી વેચનાર છોકરા એ આજે IPLની ફાસ્ટેસ્ટ ફિફ્ટી ફટકારી
… ",positive
"સ્કૂલમાં 4 વર્ષની બાળકીની છેડતી, પોલીસ તપાસમાં લાગી 

 ",negative
,
"સુરતમાં ભંગારના ગોડાઉનમાં ભીષણ આગ, 4 ફાયર ફાયટરની ગાડીઓ ઘટના સ્થળે
 ",negative
"ચક્રવાત એલર્ટ: 175 કિમી પ્રતિ કલાકની ઝડપે પવન ફૂંકાશે, 6 કલાકમાં મોચા બની જશે ખતરનાક!  ",negative
"દાહોદમાં સતત બીજા દિવસે ડિમોલિશનની કામગીરી યથાવત 
 ",negative
"કમોસમી વરસાદને કારણે 62 કરોડનું નુકસાન, બમણી રકમના પેકેજની સરકારની વિચારણા  👉🏽👉🏽 
… ",negative
"19.58 કરોડના ખર્ચે ખરીદાશે રોડ સ્વીપર મશીન

14 રોડ સ્વીપર મીશન ખરીદવા માટે સ્થાયી સમિતિએ મંજૂરી આપી

મુખ્ય તેમજ અ… ",positive
"સુરત મનપા ખરીદશે 14 મિકેનાઈઝ રોડ સ્વીપર મશીન

દેશના 102 શહેરમાં હવા સ્વચ્છ નથી

સ્વચ્છ હવા ન હોવામાં સુરતનો પણ સમા… ",negative
,
,
"તાત્કાલિક ચૂંટણી યોજવાની માગ સાથે સુરતમાં ફોસ્ટાની ઓફિસમાં કરાઈ તાળાબંધી
 ",negative
,
,
"શિક્ષકોના હક્કમાં સરકારનો નિર્ણય

શાળાઓ શરૂ થાય તે પહેલા બદલી કેમ્પ શરૂ કરાશે

અગાઉ શિક્ષકોનો બદલી કેમ્પ મોકૂફ રખા… ",positive
"અમિત શાહ સારંગપુરમાં 54 ફૂટ ઊંચું હનુમાન મંદિરના આજે ઉદ્ઘાટન કરશે. 
… ",positive
"🔆ચાલો સૌ સાથે મળીને ગરમી સામે લડીએ...
… ",positive
"વડોદરાની MS યુનિવર્સિટીમાં નોકરી આપવાના લાલચે 1.67 કરોડની છેતરપિંડી 
 ",negative
રાષ્ટ્રીય માનવ અધિકાર પંચ (NHRC) એ ગુરુવારે ભૂલ કરનાર રમત સંસ્થાઓ અને યુવા બાબતો અને રમતગમત મંત્રાલયને નોટિસ ફટકારી,negative
Ahmedabad Building Collapse : અમદાવાદના વેજલપુર વિસ્તારમાં ગુરુવારની રાત્રે એક ત્રણ માળની બિલ્ડિંગ ધરાશાયી ગઇ છે…,negative
"જુનિયર ક્લાર્કના વિધાર્થીઓ પરીક્ષામાં ગેરરીતિ કરશે તો થશે  3થી 10 વર્ષની જેલ  
… ",negative
,
#CNBCBajar | US માર્કેટમાં ગ્રોથને લઇને ચિંતા યથાવત | ઇન્ટરનેશનલ માર્કેટમાં વધ્યુ કોપર પર દબાણ  …,negative
"ભાવનગરના ચિત્રા વિસ્તારમાં પાણી પૂરું પાડતો ફિલ્ટર પ્લાન્ટની છતનું સમારકામ કરવા સ્થાનિકોની માગ 
… ",negative
"પ્રધાનમંત્રી નરેન્દ્ર મોદી આજે ગુજરાતના પ્રવાસે; સવારે 10 વાગ્યે અમદાવાદ એરપોર્ટ પર પીએમનું થશે આગમન 
… ",positive
,
"મોરબી: જમીનમાંથી લાવા નિકળ્યો

વાંકાનેરના ગારીડા ગામે જમીનમાંથી લાવા નિકળ્યો

ખનીજ વિભાગ સહિતની ટીમોએ હાથ ધરી તપાસ… ",positive
,
"#CNBCBajar | ગ્લોબલ માર્કેટના મિશ્ર સંકેત,  પા ટકા નીચે ",negative
"જેવા છો તેવા જ રહો, કેમ કે ઓરીજનલની કિંમત ઝેરોક્ષ કરતા વધુ હોય છે.
… ",positive
"અમદાવાદના વેજલપુરમાં ત્રણ માળની બિલ્ડિંગ ધરાશાયી, ચાર લોકો દટાયા, રેસ્ક્યુ ઓપરેશન હાથ ધરાયું
… ",negative
,
"સાવધાન!! OLX પર ખરીદી કરવી પડી ભારે , 20,000 રૂપિયાના એક્ટિવા માટે 4 લાખની ઠગી


… ",negative
"Ahmedabad : વિકાસ એસ્ટેટમાં લાગેલી આગમાં થયા ચોંકાવનારા ખુલાસા, 179માંથી મોટાભાગના શેડ ગેરકાયદે… ",negative
"તારક મહેતા કા ઉલ્ટા ચશ્માઃ જેનિફર મિસ્ત્રીના આરોપ પર અસિત મોદીએ કહ્યું, 'તે સેટ પર દુર્વ્યવહાર કરતી હતી, કાયદાકીય… ",negative
"સૌરાષ્ટ્ર અને કચ્છમાં વીજચોરો બન્યા બેફામ; માત્ર એક જ અઠવાડિયામાં ઝડપાઈ 6 કરોડની વીજચોરી 
 ",negative
,
"2023 IPL ક્રિકેટ સટ્ટાબાજીના રેકેટનો પર્દાફાશ કરતી પોલીસ, 8 બુકીઓની ધરપકડ 
… ",negative
"દીપિકા પાદુકોણે આપી સુખી મેરેજ જીવન માટે એડવાઈસ
",positive
"ફિનલેન્ડના વડા પ્રધાન સન્ના મારિને પતિ માર્કસ રાયકોનેન સાથે સંયુક્ત રીતે છૂટાછેડા માટે કરી અરજી

",negative
"રશિયા સાથે યુદ્ધ બાદ બરબાદ થયું યુક્રેન

",negative
"અમદાવાદ: વિશ્વની મિસ પ્રિન્સેસ બનવાનું ચક્કર માં યુવતી સાથે 1.92 લાખની ઠગાઈ

 ",negative
"સાવધાન!! OLX પર ખરીદી કરવી પડી ભારે , 20,000 રૂપિયાના એક્ટિવા માટે 4 લાખની ઠગી

",negative
,
,
"ધાનેરાથી અપક્ષ તરીકે જીતેલા માવજી દેસાઈએ કેસરીયા ધારણ કરી ભાજપની બેઠકમાં જોડાયા

",positive
,
"Suryakumar Yadavનો IPL 2023માં દબદબો : એક જ મેચમાં એકસાથે બનાવ્યા 3 રેકોર્ડ
",positive
,
"પ્રધાનમંત્રી મોદી સાથે અંજુબેન આહીર ટુ-વે કનેક્ટીવીટી સાથે જોડાઇ સંવાદ કરશે

",negative
,
"17 વર્ષ પહેલા જૂનાગઢ જેલમાંથી નાસી છૂટેલા કેદી દિલ્હીથી કેવી રીતે પકડાયા

",negative
"લગ્નમાં વીડિયો લેવાના ચક્કરમાં કન્યા પોતે તો પડી વરરાજાને પણ લેતી ગઇ!
… ",negative
,
"છેવટે પાઠ્યપુસ્તક મંડળના કથિત કાગળ કૌભાંડની તપાસ વિજિલન્સને સોંપાઇ
… ",positive
"સુરતમાં બનશે એશિયાનો સૌથી મોટો પાર્ક, 9 કિલોમીટરનો વોકિંગ ટ્રેક, 6 લાખ રોપા વાવવામાં આવશે
… ",positive
,
"ઈટાલીના મિલાન શહેરમાં મોટો વિસ્ફોટ, 4ના મોત, રસ્તા પર અનેક વાહનો સળગી ગયા 
… ",negative
"Starbucks India એ રેસિસ્ટ જાહેરાત બનાવતા ટ્વિટર પર વિરોધ થયો
… ",negative
,
"પાકિસ્તાનમાં લોકોએ માનવતા નેવે મુકી, કેળા વેચતા છોકરાને પણ આ રીતે લૂંટી લીધો!
… ",negative
,
"સુપ્રીમ કોર્ટે ઈમરાન ખાનની ધરપકડ પર સવાલ ઉઠાવ્યા, એક કલાકમાં રજૂ કરવાનો આપ્યો આદેશ
… ",negative
,
"વિશ્વમાં હરવા ફરવાના મામલે ચીનના લોકો અવ્‍વલ, ભારત ટોપ 10 માં પણ નહીં
… ",negative
,
,
"ઈટાલીના ફેશન સિટી મિલાનમાં મોટરકારમાં ધડાકા સાથે આગ ફાટી નીકળી, અન્ય પાંચ વાહનો અને કેટલાક દ્વિચક્રી વાહન પણ લપેટ… ",negative
"દાહોદ શહેરમાં ફરી શરૂ થયું મેગા ડિમોલિશન 
 ",positive
,
"લગ્નપ્રસંગ માતમમાં ફેરવાયો! લગ્નમાં નાચતાં-નાચતાં કાકાનું હાર્ટ એટેકથી મોત
… ",negative
,
"પાકિસ્તાનના ધરપકડ વચ્ચે ઇમરાન ખાનનો ઓડિયો વાયરલ
… ",negative
"સુરતના પાંડેસરામાં વધુ એક બાળકી અત્યાચારનો ભોગ બનતા બચી! નરાધમની ધરપકડ
 ",negative
"ડમી કાંડમાં વધુ 2 આરોપીઓને SITએ ઝડપ્યા, હજુ આટલા પોલીસ પકડથી દૂર !


… ",negative
"તારક મેહતાના આસિત મોદી પર જાતીય સતામણીનો આરોપ
… ",negative
,
"મેટ્રોના પિલરના રંગના ખર્ચ અંગે વિવાદ !  મેટ્રોના પિલરના રંગકામનો 10 લાખનો ખર્ચ AMCએ ઉપાડ્યો 
… ",negative
,
,
,
"માણસામાં ભુવા વિરુદ્ધ ફરિયાદ લખાવનાર ફરિયાદી ગાયબ
 ",negative
,
,
,
"રાજકોટની સનરાઈઝ સ્કૂલના સંચાલકોનું મોટું કારસ્તાન ! પતરાવાળી સ્કૂલ બનાવીને RTEના વિદ્યાર્થીને અપાયો પ્રવેશ
… ",negative
,
,
"સુરતમાં હાઉસિંગ સોસાયટીની જમીન પર ચાલતી હોસ્પિટલ સામે અરજી, હાઈકોર્ટે સરકારને નોટિસ પાઠવી

",negative
"વડોદરામાં પાલિકાની ગ્રીનબેલ્ટની જગ્યા પર બિલ્ડરે ફરી શરૂ કર્યું બાંધકામ
 ",positive
"વડોદરામાં યુવકે પેટ્રોલ પંપ પર મચાવી ધમાલ ! નગ્ન થઈ કર્યો પેટ્રોલનો છંટકાવ, પૈસા કાઢી હવામાં ઉછાળ્યા",negative
,
,
"૩૧ લાખ રૂપિયા પડાવવા મામલે અનોડિયાના ત્રણ ભૂવાઓની પોલીસે કરી અટકાયત
 ",negative
,
"હનુમાન જયંતિ પર, દેવદત્ત નાગે આદિપુરુષ માટે એક નવું કેરેક્ટર રિલીઝ કર્યું 
… ",positive
"સૌરાષ્ટ્ર યુનિવર્સિટીના વિવાદિત કુલપતિ ડૉ. ગિરીશ ભીમાણીનું પદ જોખમમાં !
 ",negative
,
,
,
"હવે સંચાર સાથી નામની સુવિધાથી મળી જશે તમારો ખોવાયેલો ફોન! 17મી મેથી સમગ્ર દેશમાં શરુ થશે ખાસ પોર્ટલ
… ",positive
"ધર્મના નામે ધતિંગ કરતા વધુ એક ભૂવા સામે પોલીસ ફરિયાદ! મેલી વિદ્યા અને મૂઠ ઉતારવાના નામે પડાવ્યા 31 લાખ
… ",negative
"દિલ્હી એરપોર્ટ બન્યું વિશ્વનું નવમું સૌથી વ્યસ્ત એરપોર્ટ  
",positive
"આજના દિવસે ભારતે ન્યુક્લિયર બોમ્બનો બીજો ટેસ્ટ હાથ ધરી દુનિયાને ચોંકાવી દીધી હતી.
… ",positive
,
,
"ધોરણ 9થી 12ના વિદ્યાર્થીઓ માટે ગુજરાત સરકારે કરી જ્ઞાન સાધના સ્કોલરશીપ યોજનાની જાહેરાત 
… ",positive
,
"નફરતનું કોઈ અસ્તિત્વ જ નથી, એ તો પ્રેમની ગેરહાજરીનું પરિણામ છે.
… ",negative
"BJP ઉમેદવારના પતિની સપા ધારાસભ્યએ પોલીસ સ્ટેશનમાં જ કરી ધુલાઈ 
… ",negative
,
"અનોખું દાન - વડોદરાના જોડિયા બાળકોએ કેન્સરના દર્દીઓની મદદ માટે વાળનું દાન કર્યું

",positive
,
"Gujarat: ગાંધીનગર ગેરકાયદેસર હથિયારોનો જથ્થો ઝડપાયો

",negative
,
"ના હોય ! પાર્ટી આપીને છટણી કરી નાખી
…",negative
"PM Modiએ લીધી રાજસ્થાનની મુલાકાતઃ 5500 કરોડના પ્રોજેક્ટનું કરશે લોકાર્પણ

",positive
,
"ગાંધીનગરના કલોલ પાસે ખાનગી બસે ટક્કર મારતા ST બસે 5 મુસાફરોને કચડ્યા

",negative
Asia Cup 2023માં પાકિસ્તાનને મોટો ફટકો,negative
,
"અમદાવાદ શહેરના બાપુનગરમાં આવેલા વિકાસ એસ્ટેટમાં ભીષણ આગ ફાટી નીકળી 
… ",negative
"અમદાવાદમાં આજે અને કાલે ઓરેન્જ અલર્ટ , જાણો શું સાવચેતી રાખવી
 ",negative
,
